Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
1.0,1,23,0.2239999999999999,0.9039999999999997,0.0,0.0,0.5680000000000003,0.0,1.688,0.0279999999999999,0.0,0.364,3.7759999999999994
1.0,1,26,0.0,0.0,0.1960000000000001,0.0,0.208,0.2279999999999997,2.2600000000000002,0.0,0.26,0.4200000000000003,3.5720000000000005
1.0,1,27,0.0,0.0,1.3199999999999994,0.0,0.028,0.0,0.0,0.0,2.2000000000000006,0.236,3.784
1.0,1,28,1.4319999999999997,0.0,0.0,0.0,0.2679999999999999,0.0,0.0,0.264,1.068,0.7840000000000004,3.816
1.0,1,29,0.1959999999999999,0.0,0.08,0.008,0.1560000000000005,0.2319999999999999,1.5999999999999999,0.0,0.9000000000000001,0.0999999999999995,3.2720000000000002
1.0,1,30,0.208,0.0,1.3680000000000008,0.7279999999999994,0.0,0.0,0.0,0.008,0.0,0.3119999999999996,2.6239999999999997
1.0,1,31,0.0,1.1959999999999997,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.128,3.904
1.0,1,34,0.06,1.2879999999999998,0.244,0.024,0.2279999999999999,0.152,0.5960000000000005,0.0,0.5680000000000002,0.44000000000000017,3.6000000000000005
1.0,1,35,0.012,0.712,0.0,0.0,1.144,0.31600000000000017,0.0,1.0119999999999998,0.2839999999999999,0.032,3.5119999999999996
1.0,1,36,0.0,1.8840000000000006,0.0,0.0,0.0,1.0320000000000003,0.0,0.024,0.0,0.2679999999999995,3.208
1.0,1,37,0.0,2.168,0.008,0.0,0.3399999999999997,0.6000000000000001,0.0,0.16400000000000012,0.0,0.3119999999999996,3.5919999999999996
1.0,1,38,0.6879999999999998,0.0,0.0,0.0,0.2400000000000005,1.6000000000000005,0.0,0.0,0.3239999999999997,0.5599999999999995,3.4120000000000004
1.0,1,39,0.0,0.636,0.2199999999999999,0.0,0.2239999999999997,0.0,0.0,0.0,2.4320000000000004,0.396,3.908
1.0,1,40,0.0,0.6159999999999999,0.252,0.4559999999999999,0.4040000000000001,0.0,0.348,0.18,0.0,0.052000000000000005,2.3080000000000003
1.0,1,41,0.1560000000000001,0.0,0.0,0.072,1.2160000000000002,0.7080000000000002,0.06,1.1679999999999997,0.388,0.17599999999999988,3.944
1.0,1,42,0.0,0.2559999999999998,0.172,0.0,1.2600000000000002,1.6560000000000006,0.3199999999999998,0.0,0.0,0.1639999999999994,3.828
1.0,1,43,0.0,0.0,1.992,0.0,1.7160000000000006,0.0,0.0,0.2799999999999998,0.0,0.0,3.9880000000000004
1.0,1,44,0.0,0.0,0.0,0.0,2.396,0.3959999999999999,0.5479999999999998,0.0,0.0,0.6320000000000006,3.9720000000000004
1.0,1,45,0.0,1.1600000000000004,0.0,0.0,0.5640000000000003,0.132,0.0,0.28800000000000053,1.02,0.36799999999999966,3.532000000000001
1.0,1,46,0.0,1.704,0.0,0.3039999999999998,0.0,0.0,1.2480000000000002,0.42800000000000005,0.0,0.012,3.696
1.0,1,47,0.1879999999999997,0.0,0.0,0.0,0.45199999999999985,0.2079999999999999,2.0480000000000005,0.8160000000000005,0.0,0.2359999999999997,3.948
1.0,1,49,0.0,2.168,0.04,0.0,0.5999999999999999,1.0560000000000003,0.0,0.0,0.0,0.09199999999999989,3.9560000000000004
1.0,1,53,1.092,0.0,0.0,0.0,0.7319999999999999,0.0,0.0,0.02,0.9760000000000004,0.18800000000000003,3.0080000000000005
1.0,1,54,0.21200000000000008,0.0,0.164,0.0,0.8680000000000002,0.32399999999999984,0.012,0.2080000000000001,0.024,1.4639999999999995,3.276
1.0,1,55,0.7400000000000001,0.0,0.0,0.0960000000000005,0.8519999999999994,0.0,1.8560000000000003,0.004,0.0,0.0919999999999999,3.6400000000000006
1.0,1,57,0.0,0.192,0.11999999999999991,1.944,0.012,0.0,0.096,1.3480000000000003,0.0,0.024,3.7360000000000007
1.0,1,60,0.0,0.008,0.108,0.012,0.0,0.7000000000000001,0.0,0.0,0.7320000000000004,1.7639999999999996,3.324
1.0,1,61,0.3720000000000003,1.3999999999999995,0.0,1.4040000000000001,0.0,0.3359999999999999,0.0,0.1560000000000001,0.02,0.2200000000000001,3.9080000000000004
1.0,1,62,0.0,0.1840000000000001,0.0,0.4399999999999999,0.3399999999999999,2.4640000000000004,0.0,0.0,0.496,0.024,3.9480000000000004
1.0,1,63,0.3800000000000003,0.0,0.8399999999999996,0.6559999999999999,0.0,0.0,1.124,0.204,0.0,0.5199999999999996,3.7239999999999993
1.0,1,68,0.0,0.0090000000000001,0.1199999999999999,1.078,2.548,0.0,0.085,0.0,0.0,0.0970000000000007,3.9370000000000007
1.0,1,69,0.6600000000000004,0.0,0.0,0.0,0.8640000000000001,0.0,1.204,0.012,0.0,0.2599999999999997,3.0
1.0,1,70,1.9600000000000002,0.0,0.1639999999999999,0.0,0.0,0.7039999999999997,0.10000000000000049,0.0,0.2160000000000002,0.6399999999999997,3.7840000000000003
1.0,1,71,0.031999999999999904,0.0,0.1640000000000001,0.008,0.0,0.4440000000000001,1.8000000000000003,0.0,0.9160000000000003,0.0399999999999999,3.404000000000001
2.0,1,23,0.0,0.768,0.0,0.192,1.3679999999999997,0.0,0.5000000000000001,0.7120000000000004,0.0,0.0719999999999999,3.612
2.0,1,26,0.0,0.0,0.0159999999999995,0.0,0.26,1.6679999999999995,0.2239999999999999,0.0,0.88,0.3640000000000001,3.411999999999999
2.0,1,27,0.0,0.0,1.044,0.0,0.428,0.156,1.2920000000000003,0.2719999999999996,0.0,0.35599999999999987,3.5479999999999996
2.0,1,28,0.0,0.08,0.004,0.0,0.0,0.032,0.0,1.392,1.6440000000000001,0.26,3.412
2.0,1,29,0.0,0.0,0.2359999999999996,0.0,0.7159999999999997,0.436,0.0,0.0,2.2,0.052000000000000005,3.6399999999999992
2.0,1,30,0.0,0.5279999999999996,0.9160000000000001,0.0,1.1039999999999999,0.0,0.0,0.0,0.07199999999999951,0.5440000000000003,3.1639999999999997
